date,title,publisher
2020-01-08 08:00:00+00:00,Apple rings in new era of Services following landmark year - Apple,"{'href': 'https://www.apple.com', 'title': 'Apple'}"
2020-01-08 08:00:00+00:00,"Apple's App Store had gross sales around $50 billion last year, but growth is slowing - CNBC","{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2020-01-08 08:00:00+00:00,"Apple App Store breaks record, earns $386m in a day in 2020 - GSMArena.com","{'href': 'https://www.gsmarena.com', 'title': 'GSMArena.com'}"
2020-01-02 08:00:00+00:00,Apple Deal Returns Former HBO Boss Richard Plepler to Spotlight ... - The New York Times,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
2020-01-04 08:00:00+00:00,Apple just put itself in position to be the next HBO - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2020-01-02 08:00:00+00:00,Former HBO chief Richard Plepler signs production deal with Apple - CNN,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2020-01-03 08:00:00+00:00,Apple and GPU-maker Imagination make nice in new licensing deal - Ars Technica,"{'href': 'https://arstechnica.com', 'title': 'Ars Technica'}"
2020-01-03 08:00:00+00:00,Apple CEO Tim Cook's 2019 pay revealed - Fox Business,"{'href': 'https://www.foxbusiness.com', 'title': 'Fox Business'}"
2020-01-08 08:00:00+00:00,"Perspective | At CES, Apple, Facebook and Amazon are preaching ... - The Washington Post","{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
2020-01-03 08:00:00+00:00,Apple Puts In Rare Appearance At CES To Talk About Privacy - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2020-01-03 08:00:00+00:00,"Apple Watch Series 5 vs 3 review: Features, specs, screen compared - Business Insider","{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2020-01-03 08:00:00+00:00,Apple will engrave emoji on your AirPods case for free - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2020-01-13 08:00:00+00:00,Apple announces Stamford store closing - The Advocate,"{'href': 'https://www.stamfordadvocate.com', 'title': 'The Advocate'}"
2020-01-04 08:00:00+00:00,"Why Amazon, Google and Apple want to record you - USA TODAY","{'href': 'https://www.usatoday.com', 'title': 'USA TODAY'}"
2020-01-09 08:00:00+00:00,Apple accused of stealing Masimo trade secrets for Apple Watch ... - 9to5Mac,"{'href': 'https://9to5mac.com', 'title': '9to5Mac'}"
2020-01-02 08:00:00+00:00,Jimmy Iovine still believes in Apple's quality obsession - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2020-01-01 08:00:00+00:00,Top 9 Apple Health Tips and Tricks to Use It Like a Pro - Guiding Tech,"{'href': 'https://www.guidingtech.com', 'title': 'Guiding Tech'}"
2020-01-14 08:00:00+00:00,Apple's rackmount Mac Pro is now available - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2020-01-10 08:00:00+00:00,‘Little America’ on Apple TV Plus: TV Review - Variety,"{'href': 'https://variety.com', 'title': 'Variety'}"
2020-01-07 08:00:00+00:00,Samsung's designers copying Apple again in Samsung Pass icons - AppleInsider,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2020-01-06 08:00:00+00:00,These Are Apple's Top 5 Highest-Paid Executives - CRN,"{'href': 'https://www.crn.com', 'title': 'CRN'}"
2020-01-08 08:00:00+00:00,Apple TV+ 'Mythic Quest' Star Rob McElhenney Calls Apple 'Really ... - MacRumors,"{'href': 'https://www.macrumors.com', 'title': 'MacRumors'}"
2020-01-13 08:00:00+00:00,New evidence shows MacBook Pro with Magic Keyboard likely ... - 9to5Mac,"{'href': 'https://9to5mac.com', 'title': '9to5Mac'}"
2020-01-13 08:00:00+00:00,‘See’: Dave Bautista Joins Season 2 Of Apple Drama Series - Deadline,"{'href': 'https://deadline.com', 'title': 'Deadline'}"
2020-01-06 08:00:00+00:00,Apple releases new 'Inside The Morning Show' promo video - AppleInsider,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2020-01-09 08:00:00+00:00,"Music Streaming Royalties, Artist Pay Compared: Spotify, Apple Music - Business Insider","{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2020-01-09 08:00:00+00:00,"New Bluetooth standard copies best features of Apple, Qualcomm’s proprietary tech - Ars Technica","{'href': 'https://arstechnica.com', 'title': 'Ars Technica'}"
2020-01-13 08:00:00+00:00,Oprah drops Russell Simmons accuser doc from Apple slate two weeks before Sundance premiere - NBC News,"{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
2020-01-14 08:00:00+00:00,"‘Little America’ Co-Creator Lee Eisenberg Inks Overall Deal With Apple, Launches New Production Banner - Deadline","{'href': 'https://deadline.com', 'title': 'Deadline'}"
2020-01-05 08:00:00+00:00,Does Cosmic Crisp live up to apple hype? - Times Herald-Record,"{'href': 'https://www.recordonline.com', 'title': 'Times Herald-Record'}"
2020-01-09 08:00:00+00:00,"Apple's security and privacy is good, but could be even better - Macworld","{'href': 'https://www.macworld.com', 'title': 'Macworld'}"
2020-01-08 08:00:00+00:00,Sengled's smart bulbs sync up with Apple HomeKit at CES 2020 - CNET,"{'href': 'https://www.cnet.com', 'title': 'CNET'}"
2020-01-07 08:00:00+00:00,Here’s why a MacBook Pro with AMD’s new Ryzen 4 chips would be amazing - Digital Trends,"{'href': 'https://www.digitaltrends.com', 'title': 'Digital Trends'}"
2020-01-08 08:00:00+00:00,TiVo finally gives an update on its promised Apple TV app - 9to5Mac,"{'href': 'https://9to5mac.com', 'title': '9to5Mac'}"
2020-01-13 08:00:00+00:00,Autumn Glory apple outpacing other apples – Produce Blue Book - Produce Blue Book,"{'href': 'https://www.producebluebook.com', 'title': 'Produce Blue Book'}"
2020-01-14 08:00:00+00:00,Xcode 11.3.1 Released Nearly One Month After Apple Last Seeded ... - MacRumors,"{'href': 'https://www.macrumors.com', 'title': 'MacRumors'}"
2020-01-06 08:00:00+00:00,LG bringing Apple TV app to smart TVs in 2020 - AppleInsider,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2020-01-13 08:00:00+00:00,"Apple Pencil could get smarter with a camera, touch support and more - Business Insider India","{'href': 'https://www.businessinsider.in', 'title': 'Business Insider India'}"
2020-01-13 08:00:00+00:00,5 ways AirPods alternatives are taking on Apple in 2020 - Fast Company,"{'href': 'https://www.fastcompany.com', 'title': 'Fast Company'}"
2020-01-02 08:00:00+00:00,Samsung and Apple take opposing views on Web3 technology - Decrypt,"{'href': 'https://decrypt.co', 'title': 'Decrypt'}"
2020-01-13 08:00:00+00:00,Europe May Show Aggression in Its Attempt to Kill Apple’s Lightning Port - iDrop News,"{'href': 'https://www.idropnews.com', 'title': 'iDrop News'}"
2020-01-02 08:00:00+00:00,Get this absolutely essential Apple Watch travel charger for $20 - CNET,"{'href': 'https://www.cnet.com', 'title': 'CNET'}"
2020-01-14 08:00:00+00:00,Apple Wins Patent for the Apple Watch ECG Feature that Debuted ... - Patently Apple,"{'href': 'https://www.patentlyapple.com', 'title': 'Patently Apple'}"
2020-01-13 08:00:00+00:00,Last night Apple TV+ Star Billy Crudup won for Best Supporting ... - Patently Apple,"{'href': 'https://www.patentlyapple.com', 'title': 'Patently Apple'}"
2020-01-13 08:00:00+00:00,Are These Tech Companies Complicit In Human Rights Abuses Of Child Cobalt Miners In Congo? - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2020-01-08 08:00:00+00:00,Share your best iPhone Night mode photos - Apple,"{'href': 'https://www.apple.com', 'title': 'Apple'}"
2020-01-07 08:00:00+00:00,Apple's future keyboards may employ colored backlight for user feedback - AppleInsider,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2020-01-02 08:00:00+00:00,Apple could be making a $5000 gaming PC — here's why that ... - Tom's Guide,"{'href': 'https://www.tomsguide.com', 'title': ""Tom's Guide""}"
2020-01-03 08:00:00+00:00,7-year-old from Georgia accidentally swallows Apple AirPod he got for Christmas - The Indian Express,"{'href': 'https://indianexpress.com', 'title': 'The Indian Express'}"
2020-01-07 08:00:00+00:00,iTunes Match can be a problem for switching Apple ID countries - Macworld,"{'href': 'https://www.macworld.com', 'title': 'Macworld'}"
2020-01-06 08:00:00+00:00,Apple Store Briefly Lists 2006 iMac for $999 - PCMag,"{'href': 'https://www.pcmag.com', 'title': 'PCMag'}"
2020-01-13 08:00:00+00:00,"Barr Asks Apple to Unlock Pensacola Killer's Phones, Setting Up ... - The New York Times","{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
2020-01-14 08:00:00+00:00,Apple Declines DOJ Request To Unlock Pensacola Gunman's Phones - NPR,"{'href': 'https://www.npr.org', 'title': 'NPR'}"
2020-01-07 08:00:00+00:00,F.B.I. Asks Apple to Help Unlock Two iPhones (Published 2020) - The New York Times,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
2020-01-07 08:00:00+00:00,Shift Keyboard introduces a new way to write messages on Apple ... - 9to5Mac,"{'href': 'https://9to5mac.com', 'title': '9to5Mac'}"
2020-01-13 08:00:00+00:00,Apple Is Moving Past the iPhone. Here's Why That's Inevitable - Inc.,"{'href': 'https://www.inc.com', 'title': 'Inc.'}"
2020-01-04 08:00:00+00:00,"Apple, Microsoft and Google among five companies sued over ... - WSWS","{'href': 'https://www.wsws.org', 'title': 'WSWS'}"
2020-01-03 08:00:00+00:00,Servant on Apple TV Plus: What does the rotting food symbolize? - Guilty Eats,"{'href': 'https://guiltyeats.com', 'title': 'Guilty Eats'}"
2020-01-09 08:00:00+00:00,Apple's heady rise highlights perils of concentration - Financial Times,"{'href': 'https://www.ft.com', 'title': 'Financial Times'}"
