date,title,publisher
2020-01-06 08:00:00+00:00,Major PC vendors partner with Nvidia for RTX Studio systems ... - HEXUS,"{'href': 'https://hexus.net', 'title': 'HEXUS'}"
2020-01-05 08:00:00+00:00,Acer ConceptD 7 offers plenty of power for creators - Android Authority,"{'href': 'https://www.androidauthority.com', 'title': 'Android Authority'}"
2020-01-05 08:00:00+00:00,"Acer's ConceptD 7 Ezel laptop is part tablet, part mini desktop - Engadget","{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2020-01-08 08:00:00+00:00,Why NVIDIA Stock Soared 76% in 2019 - The Motley Fool,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
2020-01-10 08:00:00+00:00,"Nvidia Stock Is a Buy Thanks to Data Center Demand, Analyst Says - Barron's","{'href': 'https://www.barrons.com', 'title': ""Barron's""}"
2020-01-06 08:00:00+00:00,Nvidia Reveals 360Hz G-Sync Monitor - GameRant,"{'href': 'https://gamerant.com', 'title': 'GameRant'}"
2020-01-06 08:00:00+00:00,NVIDIA's new GeForce drivers include a framerate cap to reduce latency - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2020-01-12 08:00:00+00:00,"NVIDIA 7nm Ampere GPU Unveil Tipped For GTC 2020, Here's What We Know - Hot Hardware","{'href': 'https://hothardware.com', 'title': 'Hot Hardware'}"
2020-01-02 08:00:00+00:00,NVIDIA Ampere GPU: 50% faster than Turing at HALF the power?! - TweakTown,"{'href': 'https://www.tweaktown.com', 'title': 'TweakTown'}"
2020-01-05 08:00:00+00:00,Nvidia to offer free 3 months of Adobe Creative Cloud on all new ... - PCWorld,"{'href': 'https://www.pcworld.com', 'title': 'PCWorld'}"
2020-01-06 08:00:00+00:00,Asus TUF Gaming A15 hands-on review: AMD meets Nvidia - Laptop Mag,"{'href': 'https://www.laptopmag.com', 'title': 'Laptop Mag'}"
2020-01-05 08:00:00+00:00,Nvidia's Ampere is more likely to be post-Volta than post-Turing ... - PCGamesN,"{'href': 'https://www.pcgamesn.com', 'title': 'PCGamesN'}"
2020-01-10 08:00:00+00:00,EVGA Brings Nvidia GeForce RTX 2060 KO to Battle AMD's Radeon ... - Tom's Hardware,"{'href': 'https://www.tomshardware.com', 'title': ""Tom's Hardware""}"
2020-01-07 08:00:00+00:00,How to Use Nvidia's Latest Drivers to Cap Your PC's Frame Rates - Lifehacker,"{'href': 'https://lifehacker.com', 'title': 'Lifehacker'}"
2020-01-08 08:00:00+00:00,AMD's Lisa Su promises Big Navi-based Radeon graphics card in 2020 - Shacknews,"{'href': 'https://www.shacknews.com', 'title': 'Shacknews'}"
2020-01-07 08:00:00+00:00,"After Growing Almost 70% Over The Last 2 Years, Why Is Nvidia’s Revenue Expected To Grow Only 4% By 2021? - Forbes","{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2020-01-02 16:25:48+00:00,Can Nvidia Stock Sustain Its Growth Momentum in 2020? - Market Realist,"{'href': 'https://marketrealist.com', 'title': 'Market Realist'}"
2020-01-01 08:00:00+00:00,The NVIDIA Shield TV Pro (2019) is my favorite purchase of the year - Android Central,"{'href': 'https://www.androidcentral.com', 'title': 'Android Central'}"
2020-01-05 08:00:00+00:00,Lenovo's Yoga Creator 7: A Budget 15.6-Inch NVIDIA Studio Laptop ... - AnandTech,"{'href': 'https://www.anandtech.com', 'title': 'AnandTech'}"
2020-01-05 08:00:00+00:00,"HP Spectre x360 15 (2020) hands-on review: Less bezel, more power - Digital Trends","{'href': 'https://www.digitaltrends.com', 'title': 'Digital Trends'}"
2020-01-06 08:00:00+00:00,"NVIDIA CES 2020 Game Ready Driver: Supports RTX For Wolfenstien: Youngblood, Variable Rate Super Sampling, Max Frame Rate Settings, 8 New G-SYNC Compatible Monitors - Wccftech","{'href': 'https://wccftech.com', 'title': 'Wccftech'}"
2020-01-14 08:00:00+00:00,Israeli hi-tech exits surge to decade high of $21.7b. in 2019 - The Jerusalem Post,"{'href': 'https://www.jpost.com', 'title': 'The Jerusalem Post'}"
