date,title,publisher
2021-01-09 08:00:00+00:00,Google suspends 'free speech' app Parler - BBC,"{'href': 'https://www.bbc.com', 'title': 'BBC'}"
2021-01-08 08:00:00+00:00,Google suspends Parler social networking app from Play Store ... - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2021-01-08 08:00:00+00:00,Google pulls Parler from Play Store for fostering calls to violence - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2021-01-04 08:00:00+00:00,"Hundreds of Google Employees Unionize, Culminating Years of ... - The New York Times","{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
2021-01-04 08:00:00+00:00,Google workers have formed the company's first-ever union - CNN,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2021-01-04 08:00:00+00:00,More than 200 US Google employees form a workers’ union - The Guardian,"{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
2021-01-14 08:00:00+00:00,"Google closes Fitbit deal as U.S., Australia probes continue - Reuters","{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2021-01-08 08:00:00+00:00,Google Workers Speak Out About Why They Formed A Union: 'To ... - NPR,"{'href': 'https://www.npr.org', 'title': 'NPR'}"
2021-01-08 08:00:00+00:00,CMA to investigate Google's 'Privacy Sandbox' browser changes - GOV.UK,"{'href': 'https://www.gov.uk', 'title': 'GOV.UK'}"
2021-01-05 08:00:00+00:00,Ken Paxton scandal could cost state millions in legal fees for Google ... - The Texas Tribune,"{'href': 'https://www.texastribune.org', 'title': 'The Texas Tribune'}"
2021-01-13 08:00:00+00:00,Google admits to running 'experiments' which remove some media sites from its search results - The Guardian,"{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
2021-01-05 08:00:00+00:00,Google workers have made organizing attempts in the past. Here's why this one is more significant - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-12 08:00:00+00:00,EXCLUSIVE Civil rights groups demand Google remove Trump's ... - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2021-01-08 08:00:00+00:00,How to use Google Assistant driving mode in Google Maps - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2021-01-05 08:00:00+00:00,Google Hasn't Updated Its iOS Apps Since the Day Before Apple's ... - MacRumors,"{'href': 'https://www.macrumors.com', 'title': 'MacRumors'}"
2021-01-12 08:00:00+00:00,Google is giving $3 million to news orgs to fact-check vaccine ... - Nieman Journalism Lab at Harvard,"{'href': 'https://www.niemanlab.org', 'title': 'Nieman Journalism Lab at Harvard'}"
2021-01-11 08:00:00+00:00,JPM: Boehringer partners with Google to bring quantum computing ... - FierceBiotech,"{'href': 'https://www.fiercebiotech.com', 'title': 'FierceBiotech'}"
2021-01-03 08:00:00+00:00,"Sorry, Alexa and Siri. These 5 Google Home features make me love ... - CNET","{'href': 'https://www.cnet.com', 'title': 'CNET'}"
2021-01-11 08:00:00+00:00,Google Has 'Shattered' Its Pipeline To Black Talent - VICE,"{'href': 'https://www.vice.com', 'title': 'VICE'}"
2021-01-11 08:00:00+00:00,YouTube Competitor Rumble Hits Google With Antitrust Allegations - Bloomberg Law,"{'href': 'https://news.bloomberglaw.com', 'title': 'Bloomberg Law'}"
2021-01-12 08:00:00+00:00,Google reveals sophisticated Windows and Android hacking operation - ZDNet,"{'href': 'https://www.zdnet.com', 'title': 'ZDNet'}"
