date,title,publisher
2018-01-05 08:00:00+00:00,How Apple users can protect themselves against Spectre and Meltdown - Computerworld,"{'href': 'https://www.computerworld.com', 'title': 'Computerworld'}"
2018-01-04 08:00:00+00:00,Apple confirms all Mac and iOS devices are affected by Meltdown ... - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2018-01-05 08:00:00+00:00,Apple iPhone Chip Vulnerability Is 'Most Disturbing' Security Issue in ... - Newsweek,"{'href': 'https://www.newsweek.com', 'title': 'Newsweek'}"
2018-01-04 08:00:00+00:00,App Store kicks off 2018 with record-breaking holiday season - Apple,"{'href': 'https://www.apple.com', 'title': 'Apple'}"
2018-01-02 08:00:00+00:00,Apple buys app development service Buddybuild - TechCrunch,"{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2018-01-12 08:00:00+00:00,Apple's iCloud in China Set to Move to State-Controlled Data Center - Data Center Knowledge,"{'href': 'https://www.datacenterknowledge.com', 'title': 'Data Center Knowledge'}"
2018-01-04 08:00:00+00:00,Jimmy Iovine Leaving Apple Music in August | Billboard – Billboard - Billboard,"{'href': 'https://www.billboard.com', 'title': 'Billboard'}"
2018-01-12 08:00:00+00:00,Apple features subscription apps offering free trials in new App Store section - AppleInsider,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2018-01-09 08:00:00+00:00,Investors Pressure Apple Over Psychological Risks Of Screen Time For Kids - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2018-01-06 08:00:00+00:00,Somebody Is Selling a Rare Working Version of One of Apple’s First Computers on Ebay - Fortune,"{'href': 'https://fortune.com', 'title': 'Fortune'}"
2018-01-09 08:00:00+00:00,Apple says it has 'always looked out for kids' after criticism - ABC News,"{'href': 'https://abcnews.go.com', 'title': 'ABC News'}"
2018-01-10 08:00:00+00:00,Apple's Jimmy Iovine denied rumours that he was leaving the company - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2018-01-06 08:00:00+00:00,"Tim Cook Stumbles at His Specialty, Shipping Apple Products on Time - The Wall Street Journal","{'href': 'https://www.wsj.com', 'title': 'The Wall Street Journal'}"
2018-01-02 08:00:00+00:00,Mystery Apple chip discovered in iMac Pro teardown not A10 Fusion coprocessor [u] - AppleInsider,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2018-01-08 08:00:00+00:00,Apple Watch to be able to control Whirlpool appliances this year - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2018-01-12 08:00:00+00:00,Apple made a section of the App Store to highlight apps that offer ... - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2018-01-03 08:00:00+00:00,Apple leads race to become world's first $1tn company - The Guardian,"{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
2018-01-03 08:00:00+00:00,Apple has already partially implemented fix in macOS for 'KPTI' Intel CPU security flaw - AppleInsider,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2018-01-02 08:00:00+00:00,Uh-Oh: Norman Foster's Chicago Apple Store Can't Handle Its ... - Architectural Digest,"{'href': 'https://www.architecturaldigest.com', 'title': 'Architectural Digest'}"
2018-01-03 08:00:00+00:00,Apple says its dangerous Chicago roof was a result of a software ... - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2018-01-11 08:00:00+00:00,"Apple servers briefly enabled signing of older iOS firmwares, allowing users to downgrade to earlier versions - AppleInsider","{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2018-01-06 08:00:00+00:00,Apple's App Store Generated Over $11 Billion In Revenue For The Company Last Year - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2018-01-09 08:00:00+00:00,Orbit To Bring Siri & Apple Home App Integration to Line Up of ... - PR Newswire,"{'href': 'https://www.prnewswire.com', 'title': 'PR Newswire'}"
2018-01-09 08:00:00+00:00,Matias is building the wired Mac keyboards that Apple won't - Circuit Breaker,"{'href': 'https://www.theverge.com', 'title': 'Circuit Breaker'}"
2018-01-03 08:00:00+00:00,Aaptiv workout app launches on Apple Watch - MobileMarketing Magazine,"{'href': 'https://mobilemarketingmagazine.com', 'title': 'MobileMarketing Magazine'}"
2018-01-03 08:00:00+00:00,The T2 chip makes the iMac Pro the start of a Mac revolution - Macworld,"{'href': 'https://www.macworld.com', 'title': 'Macworld'}"
2018-01-08 08:00:00+00:00,"Apple exec Angela Ahrendts recalls telling Tim Cook, 'I'm not a techie,' in first meeting - ABC News","{'href': 'https://abcnews.go.com', 'title': 'ABC News'}"
2018-01-02 08:00:00+00:00,"Understanding Apple TV 4K, HDR and Dolby Vision - The Mac Observer","{'href': 'https://www.macobserver.com', 'title': 'The Mac Observer'}"
2018-01-14 08:00:00+00:00,Apple's new iPad Pro ads tout augmented reality & mobile notetaking - AppleInsider,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2018-01-09 08:00:00+00:00,Apple store in Zurich evacuated as phone battery overheats - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2018-01-07 08:00:00+00:00,"Apple says it looks out for kids, as investors cite phone 'addiction' - Reuters","{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2018-01-08 08:00:00+00:00,Apple investigated by France for 'planned obsolescence' - BBC,"{'href': 'https://www.bbc.com', 'title': 'BBC'}"
2018-01-10 08:00:00+00:00,Apple’s future is pants - Computerworld,"{'href': 'https://www.computerworld.com', 'title': 'Computerworld'}"
