date,title,publisher
2019-01-10 08:00:00+00:00,Google used CES 2019 to show off just how big its Assistant is - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2019-01-08 08:00:00+00:00,Google has a roller coaster at CES and I just rode it — here's what it was like - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2019-01-08 08:00:00+00:00,The Google Assistant can now check you in to your flight and book you a hotel room - TechCrunch,"{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2019-01-11 08:00:00+00:00,"Google board tried to cover up sexual misconduct, shareholders allege - The Guardian","{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
2019-01-10 08:00:00+00:00,Shareholder suit alleges Google covered up its sexual harassment problems with big payouts - TechCrunch,"{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2019-01-10 08:00:00+00:00,"Sexual harassment at Google was enabled by board, lawsuit says - NBC News","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
2019-01-10 08:00:00+00:00,"'Right to be forgotten' by Google should apply only in EU, says court opinion - The Guardian","{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
2019-01-07 08:00:00+00:00,Google says Assistant will be on a billion devices by the end of the month - TechCrunch,"{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2019-01-03 08:00:00+00:00,Google shifted $23 billion to tax haven Bermuda in 2017: filing - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2019-01-09 08:00:00+00:00,Google Play Boots 85 Malicious Adware Apps - Threatpost,"{'href': 'https://threatpost.com', 'title': 'Threatpost'}"
2019-01-08 08:00:00+00:00,Vietnam says Facebook violated controversial cybersecurity law - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2019-01-08 08:00:00+00:00,6-year-old Doodle for Google winner awarded $30K scholarship for interactive dinosaur drawing - ABC News,"{'href': 'https://abcnews.go.com', 'title': 'ABC News'}"
2019-01-02 08:00:00+00:00,"Google’s “Project Soli” radar gesture chip isn’t dead, gets FCC approval - Ars Technica","{'href': 'https://arstechnica.com', 'title': 'Ars Technica'}"
2019-01-08 08:00:00+00:00,Google leases Westside Pavilion as former shopping mecca ... - Los Angeles Times,"{'href': 'https://www.latimes.com', 'title': 'Los Angeles Times'}"
2019-01-04 08:00:00+00:00,Android TV vs. Google Chromecast: Which Is Better? - MUO - MakeUseOf,"{'href': 'https://www.makeuseof.com', 'title': 'MUO - MakeUseOf'}"
2019-01-10 08:00:00+00:00,Google Play problems - Komando,"{'href': 'https://www.komando.com', 'title': 'Komando'}"
2019-01-02 08:00:00+00:00,Judge Dismisses San Bernardino Shooting Lawsuit Against ... - NPR,"{'href': 'https://www.npr.org', 'title': 'NPR'}"
2019-01-09 08:00:00+00:00,Google lets users see their related search history with new card - Search Engine Land,"{'href': 'https://searchengineland.com', 'title': 'Search Engine Land'}"
2019-01-11 08:00:00+00:00,"With Google project, Minnesota joins the boom in megasized data ... - Star Tribune","{'href': 'https://www.startribune.com', 'title': 'Star Tribune'}"
2019-01-14 08:00:00+00:00,"Change your phone settings so Apple, Google can't track your movements - The Conversation","{'href': 'https://theconversation.com', 'title': 'The Conversation'}"
2019-01-09 08:00:00+00:00,Google Takes Over Former Westside Pavilion - Apparel News,"{'href': 'https://www.apparelnews.net', 'title': 'Apparel News'}"
2019-01-14 08:00:00+00:00,A group of Google employees plans to educate people about forced arbitration - TechCrunch,"{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2019-01-11 08:00:00+00:00,Google Doodle Honors Banjo Player Earl Scruggs - TIME,"{'href': 'https://time.com', 'title': 'TIME'}"
2019-01-03 08:00:00+00:00,Track Your Food With Lifesum and Google Assistant - PCMag,"{'href': 'https://www.pcmag.com', 'title': 'PCMag'}"
2019-01-06 08:00:00+00:00,KitchenAid brings Google Assistant to a splash-resistant smart ... - CNET,"{'href': 'https://www.cnet.com', 'title': 'CNET'}"
2019-01-02 08:00:00+00:00,Google emphasizes 'Message this business' in new local search test - Search Engine Land,"{'href': 'https://searchengineland.com', 'title': 'Search Engine Land'}"
