date,title,publisher
2021-01-01 08:00:00+00:00,"SolarWinds hackers accessed Microsoft source code, the company says - CNBC","{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-11 08:00:00+00:00,Microsoft puts political contributions on hold after Capitol siege - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-03 08:00:00+00:00,Microsoft Soared in 2020 as it Captured the Cloud. Expect More Gains. - Barron's,"{'href': 'https://www.barrons.com', 'title': ""Barron's""}"
2021-01-05 08:00:00+00:00,Microsoft Is Increasing Xbox Series X+S Production To Handle Shortage - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2021-01-11 08:00:00+00:00,"Microsoft reveals new Surface Pro 7+, business-only 2-in-1 - Computerworld","{'href': 'https://www.computerworld.com', 'title': 'Computerworld'}"
2021-01-07 08:00:00+00:00,"Microsoft tried to buy Nintendo, but got laughed out of the room - Engadget","{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2021-01-05 08:00:00+00:00,Microsoft to AMD: Please help us! - CNN,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2021-01-07 08:00:00+00:00,Microsoft to build cross-platform Outlook from Edge bits - Computerworld,"{'href': 'https://www.computerworld.com', 'title': 'Computerworld'}"
2021-01-05 08:00:00+00:00,Dell's new monitors have a dedicated Microsoft Teams button - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2021-01-04 08:00:00+00:00,Microsoft (MSFT) Finds Source Code Breach but Sees No Risks - Investopedia,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}"
2021-01-05 08:00:00+00:00,Microsoft will shut down Minecraft Earth in June - PCWorld,"{'href': 'https://www.pcworld.com', 'title': 'PCWorld'}"
2021-01-08 08:00:00+00:00,There Is No Microsoft/Duracell Deal Meaning Xbox Has to Use AA ... - IGN,"{'href': 'https://www.ign.com', 'title': 'IGN'}"
2021-01-10 08:00:00+00:00,What to expect from Microsoft and Windows 10 in 2021 - BleepingComputer,"{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}"
2021-01-04 08:00:00+00:00,History and Open Tabs Sync is Coming to Microsoft Edge - Thurrott.com,"{'href': 'https://www.thurrott.com', 'title': 'Thurrott.com'}"
2021-01-11 08:00:00+00:00,Microsoft Has Reportedly Approached Every Major Publisher For A ... - TheGamer,"{'href': 'https://www.thegamer.com', 'title': 'TheGamer'}"
2021-01-12 08:00:00+00:00,"Microsoft January 2021 Patch Tuesday fixes 83 flaws, 1 zero-day - BleepingComputer","{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}"
2021-01-11 08:00:00+00:00,Microsoft's cloud will now help power a project co-created by Google sister company Verily - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-08 08:00:00+00:00,Microsoft Teams 'Dynamic View' makes watching presentations easier - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2021-01-13 08:00:00+00:00,Introducing Microsoft Cloud for Retail - Microsoft,"{'href': 'https://www.microsoft.com', 'title': 'Microsoft'}"
2021-01-12 08:00:00+00:00,Microsoft moves closer to running all of its own services on Azure - ZDNet,"{'href': 'https://www.zdnet.com', 'title': 'ZDNet'}"
2021-01-04 08:00:00+00:00,Microsoft looks to make 2021 the year of Teams - Financial Times,"{'href': 'https://www.ft.com', 'title': 'Financial Times'}"
2021-01-07 08:00:00+00:00,Enabling your organization for safe online meetings and ... - Microsoft,"{'href': 'https://techcommunity.microsoft.com', 'title': 'Microsoft'}"
2021-01-12 08:00:00+00:00,Mimecast Certificate Hacked in Microsoft Email Supply-Chain Attack - Threatpost,"{'href': 'https://threatpost.com', 'title': 'Threatpost'}"
2021-01-06 08:00:00+00:00,Microsoft DeBERTa surpasses human performance on SuperGLUE ... - Microsoft,"{'href': 'https://www.microsoft.com', 'title': 'Microsoft'}"
2021-01-07 08:00:00+00:00,"PIMCO, Man Group, IHS Markit, State Street, Microsoft and ... - Business Wire","{'href': 'https://www.businesswire.com', 'title': 'Business Wire'}"
2021-01-05 08:00:00+00:00,BREAKING: Microsoft Signs Lease for Major Presence in Rosslyn - ARLnow,"{'href': 'https://www.arlnow.com', 'title': 'ARLnow'}"
2021-01-06 08:00:00+00:00,Arkane Studios Creative Director Harvey Smith Says That Microsoft ... - TheGamer,"{'href': 'https://www.thegamer.com', 'title': 'TheGamer'}"
2021-01-06 08:00:00+00:00,Introducing Azure Health Bot—an evolution of Microsoft Healthcare ... - Microsoft,"{'href': 'https://azure.microsoft.com', 'title': 'Microsoft'}"
2021-01-03 08:00:00+00:00,Is Microsoft's $130 Billion Buyout Of Sony's PlayStation Division True? - FandomWire,"{'href': 'https://fandomwire.com', 'title': 'FandomWire'}"
2021-01-09 08:00:00+00:00,"Apple, Microsoft, Amazon, Google, Facebook, and Tesla are now ... - CEOWORLD magazine","{'href': 'https://ceoworld.biz', 'title': 'CEOWORLD magazine'}"
2021-01-05 08:00:00+00:00,Microsoft Wants Xbox Controller Drifting Lawsuit Settled Out of Court - PCMag,"{'href': 'https://www.pcmag.com', 'title': 'PCMag'}"
2021-01-04 08:00:00+00:00,Microsoft Could Bring You Back From The Dead... As A Chat Bot - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2021-01-05 08:00:00+00:00,"Powered by Microsoft Azure and developed by CoRover, IRCTC's AI ... - Microsoft","{'href': 'https://news.microsoft.com', 'title': 'Microsoft'}"
2021-01-13 08:00:00+00:00,Microsoft addresses issue breaking Windows 10 'Reset this PC' - BleepingComputer,"{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}"
2021-01-05 08:00:00+00:00,Microsoft Promises To Raise Azure AD Uptime to 99.99 Percent - Redmond Channel Partner,"{'href': 'https://rcpmag.com', 'title': 'Redmond Channel Partner'}"
2021-01-12 08:00:00+00:00,Is Microsoft Office Proficiency Still Needed Nowadays? - Global Trade Magazine,"{'href': 'https://www.globaltrademag.com', 'title': 'Global Trade Magazine'}"
2021-01-05 08:00:00+00:00,Asobo Studio shows off real-time snow in 'Microsoft Flight Simulator' - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2021-01-12 08:00:00+00:00,"Microsoft Is Seeing ""Pulse Red"" in Latest Xbox Series X/S Controller - HYPEBEAST","{'href': 'https://hypebeast.com', 'title': 'HYPEBEAST'}"
2021-01-13 08:00:00+00:00,Skype is down worldwide - Microsoft working on issues - BleepingComputer,"{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}"
2021-01-08 08:00:00+00:00,Microsoft Flight Simulator gets an F-15 add-on later this month - Polygon,"{'href': 'https://www.polygon.com', 'title': 'Polygon'}"
2021-01-06 08:00:00+00:00,Microsoft Flight Simulator’s real-time snow looks magical - Polygon,"{'href': 'https://www.polygon.com', 'title': 'Polygon'}"
2021-01-13 08:00:00+00:00,Microsoft updates Word and Excel on the iPad with much-needed ... - GSMArena.com,"{'href': 'https://www.gsmarena.com', 'title': 'GSMArena.com'}"
2021-01-14 08:00:00+00:00,"Microsoft, MIT, Verily Partner to Advance Biomedical Innovation - HITInfrastructure.com","{'href': 'https://hitinfrastructure.com', 'title': 'HITInfrastructure.com'}"
2021-01-14 08:00:00+00:00,Surface Pro 7+ for Business: Here's what makes it different - ZDNet,"{'href': 'https://www.zdnet.com', 'title': 'ZDNet'}"
2021-01-02 08:00:00+00:00,Microsoft Surface Pro 8 key feature revealed in new documents - WindowsLatest,"{'href': 'https://www.windowslatest.com', 'title': 'WindowsLatest'}"
2021-01-04 08:00:00+00:00,Microsoft takes steps to scrub Flash from Windows - Computerworld,"{'href': 'https://www.computerworld.com', 'title': 'Computerworld'}"
2021-01-06 08:00:00+00:00,"Earn 10,000 Microsoft Rewards points for 10,000 Gamerscore this ... - TrueAchievements","{'href': 'https://www.trueachievements.com', 'title': 'TrueAchievements'}"
2021-01-12 08:00:00+00:00,Breakout Rooms: Now available in Microsoft Teams - Microsoft,"{'href': 'https://educationblog.microsoft.com', 'title': 'Microsoft'}"
2021-01-12 08:00:00+00:00,Microsoft increases the upload file size limit for Microsoft 365 from ... - MSPoweruser,"{'href': 'https://mspoweruser.com', 'title': 'MSPoweruser'}"
2021-01-14 08:00:00+00:00,VinVL: Advancing the state of the art for vision-language models - Microsoft,"{'href': 'https://www.microsoft.com', 'title': 'Microsoft'}"
2021-01-14 08:00:00+00:00,"Microsoft, Salesforce and Oracle back plan to develop a digital Covid vaccination passport - CNBC","{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-04 08:00:00+00:00,Microsoft's Azure Modular Datacenter: What's 'special clouds' got to ... - ZDNet,"{'href': 'https://www.zdnet.com', 'title': 'ZDNet'}"
2021-01-05 08:00:00+00:00,Microsoft employees question donations to senators who support Trump's attempt to overturn election - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-12 08:00:00+00:00,CVP Brad Anderson is leaving Microsoft - MSPoweruser,"{'href': 'https://mspoweruser.com', 'title': 'MSPoweruser'}"
2021-01-11 08:00:00+00:00,Microsoft Flight Simulator is getting the F-15 in new third-party add-on - VG247,"{'href': 'https://www.vg247.com', 'title': 'VG247'}"
2021-01-07 08:00:00+00:00,What is Microsoft Authenticator? Here's what you need to know - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2021-01-13 08:00:00+00:00,Microsoft 365 File-Size Support Expanding to 250GB - Redmondmag.com,"{'href': 'https://redmondmag.com', 'title': 'Redmondmag.com'}"
2021-01-11 08:00:00+00:00,Corporate Vice President Brad Anderson is leaving Microsoft for ... - ZDNet,"{'href': 'https://www.zdnet.com', 'title': 'ZDNet'}"
2021-01-12 08:00:00+00:00,Securing democracy in the digital age - Microsoft,"{'href': 'https://news.microsoft.com', 'title': 'Microsoft'}"
