date,title,publisher
2023-01-04 08:00:00+00:00,Update from CEO Andy Jassy on role eliminations - About Amazon,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}"
2023-01-04 08:00:00+00:00,"Amazon says it will cut over 18,000 jobs, more than initially planned - CNBC","{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2023-01-05 08:00:00+00:00,"Amazon will lay off more than 18,000 workers - CNN","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2023-01-05 08:00:00+00:00,"Amazon, Salesforce jettison jobs in latest tech worker purge - The Associated Press","{'href': 'https://apnews.com', 'title': 'The Associated Press'}"
2023-01-04 08:00:00+00:00,"Amazon to cut 18,000 jobs; Salesforce to cut 10 percent of workforce - The Washington Post","{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
2023-01-05 08:00:00+00:00,Amazon and Salesforce to cut 25000 staff in total - Tech in Asia,"{'href': 'https://www.techinasia.com', 'title': 'Tech in Asia'}"
2023-01-10 08:00:00+00:00,"Amazon warehouse closures put 1,200 jobs at risk - BBC","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
2023-01-11 08:00:00+00:00,Amazon loses bid to overturn historic union win at Staten Island ... - NPR,"{'href': 'https://www.npr.org', 'title': 'NPR'}"
2023-01-10 08:00:00+00:00,Amazon's Buy with Prime increases shopper conversion by 25% on ... - About Amazon,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}"
2023-01-05 08:00:00+00:00,"Amazon, Salesforce, and Vimeo Kick Off 2023 With Major Layoffs - Spiceworks News and Insights","{'href': 'https://www.spiceworks.com', 'title': 'Spiceworks News and Insights'}"
2023-01-05 08:00:00+00:00,The 9 best things Amazon announced at CES 2023 - About Amazon,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}"
2023-01-11 08:00:00+00:00,Amazon Compensates 'Thursday Night Football' Advertisers - Front Office Sports,"{'href': 'https://frontofficesports.com', 'title': 'Front Office Sports'}"
2023-01-04 08:00:00+00:00,Amazon workers at UK warehouse to strike on Jan. 25 - union - Reuters UK,"{'href': 'https://www.reuters.com', 'title': 'Reuters UK'}"
2023-01-10 08:00:00+00:00,Amazon worker accused of fatally shooting pregnant woman - KKTV,"{'href': 'https://www.kktv.com', 'title': 'KKTV'}"
2023-01-12 08:00:00+00:00,What recruiters say about Salesforce and Amazon cutting low performers - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2023-01-12 08:00:00+00:00,"Al Michaels on Year 1 at Amazon, ESPN vs. the NFL, and calling ‘dreadful’ games - The Athletic","{'href': 'https://theathletic.com', 'title': 'The Athletic'}"
2023-01-11 08:00:00+00:00,"AWS partners with Avalanche to scale blockchain solutions for enterprises, governments - TechCrunch","{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2023-01-03 08:00:00+00:00,"Amazon secures $8B loan, anticipating market headwinds - TechCrunch","{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2023-01-04 08:00:00+00:00,Wednesday Season 2 Won't be Headed to Amazon Despite Rumors - IGN,"{'href': 'https://www.ign.com', 'title': 'IGN'}"
2023-01-12 08:00:00+00:00,"Amazon employees worry about ""bar-raising"" process changes - Business Insider","{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2023-01-11 08:00:00+00:00,Why Amazon Stock Is Rallying Again Today - The Motley Fool,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
2023-01-11 08:00:00+00:00,Here's how to find deals every day on Amazon - KCRA Sacramento,"{'href': 'https://www.kcra.com', 'title': 'KCRA Sacramento'}"
2023-01-05 08:00:00+00:00,Amazon's Alexa will soon help EV drivers find a charger - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2023-01-06 08:00:00+00:00,How to watch Amazon's new thriller series 'The Rig' - New York Post,"{'href': 'https://nypost.com', 'title': 'New York Post'}"
2023-01-06 08:00:00+00:00,"Amazon employee steals over $300K worth of merchandise, say MPD - Action News 5","{'href': 'https://www.actionnews5.com', 'title': 'Action News 5'}"
2023-01-08 08:00:00+00:00,"Why Amazon, Alphabet, and Microsoft Could Rebound More Than ... - The Motley Fool","{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
2023-01-12 08:00:00+00:00,"Rent the Runway’s fashion comes to Amazon, including preworn items and design exclusives - TechCrunch","{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2023-01-04 08:00:00+00:00,Lula revives $1 billion Amazon Fund and environmental protections - Climate Home News,"{'href': 'https://www.climatechangenews.com', 'title': 'Climate Home News'}"
2023-01-03 08:00:00+00:00,"Down 50%, Is Amazon Stock a Buy in 2023? - The Motley Fool","{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
2023-01-10 08:00:00+00:00,Amazon faces renewed pressure from UK lawmakers over ... - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2023-01-05 14:07:14+00:00,Amazon's Hey Disney! voice assistant is now available in the U.S. ... - About Amazon,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}"
2023-01-09 08:00:00+00:00,Amazon Layoffs Indicate Brick-and-Mortar Pull Back - Retail Info Systems News,"{'href': 'https://risnews.com', 'title': 'Retail Info Systems News'}"
2023-01-10 08:00:00+00:00,Amazon introduces Ring car camera for vehicles - FOX 26 Houston,"{'href': 'https://www.fox26houston.com', 'title': 'FOX 26 Houston'}"
2023-01-03 08:00:00+00:00,Amazon Drone Delivery Happening in California and Texas - CNET,"{'href': 'https://www.cnet.com', 'title': 'CNET'}"
2023-01-05 08:00:00+00:00,"Amazon Sidewalk adds new partners, plans to open to developers soon - TechCrunch","{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2023-01-03 08:00:00+00:00,Christoph Waltz Offers A Very Simple Service In ‘The Consultant’ As Amazon Debuts Teaser & Sets Premiere - Deadline,"{'href': 'https://deadline.com', 'title': 'Deadline'}"
2023-01-04 08:00:00+00:00,What is #FoundItOnAmazon? How to shop by interest on Amazon - WBAL TV Baltimore,"{'href': 'https://www.wbaltv.com', 'title': 'WBAL TV Baltimore'}"
2023-01-06 08:00:00+00:00,"Jeff Bezos could follow boomerang bosses Bob Iger and Howard Schultz and return to Amazon as CEO after 50% stock drop in 2022, analyst predicts - Fortune","{'href': 'https://fortune.com', 'title': 'Fortune'}"
2023-01-06 08:00:00+00:00,Indigenous territories in the Brazilian Amazon effectively protect ... - Grist,"{'href': 'https://grist.org', 'title': 'Grist'}"
2023-01-11 08:00:00+00:00,Amazon Fashion’s New Releases Include the Must-Have Wardrobe Essentials That Make Every Outfit Effortlessly Chic - WWD,"{'href': 'https://wwd.com', 'title': 'WWD'}"
2023-01-11 08:00:00+00:00,Amazon Game Studios Executive Steps Down as Unit Struggles ... - Bloomberg,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}"
2023-01-05 08:00:00+00:00,"Amazon, Salesforce: When one veteran portfolio manager will feel good about buying battered tech stocks - Yahoo Finance","{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
2023-01-12 08:00:00+00:00,"Oh, crap! Amazon delivery driver falls into septic hole, films it for ... - GeekWire","{'href': 'https://www.geekwire.com', 'title': 'GeekWire'}"
2023-01-05 08:00:00+00:00,Amazon's Kindle Scribe drops to $295 with its first discount - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2023-01-04 08:00:00+00:00,Amazon's $3.9 billion acquisition of One Medical moves a step forward - Healthcare Finance News,"{'href': 'https://www.healthcarefinancenews.com', 'title': 'Healthcare Finance News'}"
2023-01-13 08:00:00+00:00,Amazon removes some Nazi related-items after 'monetized hate' slam - New York Post,"{'href': 'https://nypost.com', 'title': 'New York Post'}"
2023-01-11 08:00:00+00:00,Disney and Amazon Team Up to Bring More of the Disneyland ... - CNET,"{'href': 'https://www.cnet.com', 'title': 'CNET'}"
2023-01-11 08:00:00+00:00,Amazon Kindle (2022) review: The e-reader for most - Tom's Guide,"{'href': 'https://www.tomsguide.com', 'title': ""Tom's Guide""}"
2023-01-03 08:00:00+00:00,In graphic detail: the rise of Amazon and Apple in adland - Digiday,"{'href': 'https://digiday.com', 'title': 'Digiday'}"
2023-01-09 08:00:00+00:00,‘Lack of respect’: outcry over Amazon employee’s death on warehouse floor - The Guardian,"{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
2023-01-05 08:00:00+00:00,"Sleep Better With the Amazon Halo Rise, Save $30 With Amazing ... - MUO - MakeUseOf","{'href': 'https://www.makeuseof.com', 'title': 'MUO - MakeUseOf'}"
2023-01-14 08:00:00+00:00,Ex-Amazon drone manager says he was fired for raising safety concerns - The Seattle Times,"{'href': 'https://www.seattletimes.com', 'title': 'The Seattle Times'}"
2023-01-14 08:00:00+00:00,Why Amazon and Alphabet Are Still 2 of My Highest-Conviction ... - The Motley Fool,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
2023-01-14 08:00:00+00:00,How the job of Amazon delivery has changed with Rivian's electric vans and routing software - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2023-01-09 08:00:00+00:00,Grocer becomes first non-Amazon store to use Fresh tech - Supermarket News,"{'href': 'https://www.supermarketnews.com', 'title': 'Supermarket News'}"
2023-01-03 08:00:00+00:00,Amazon plans dedicated Prime Video app for live sports streaming ... - SportsPro Media,"{'href': 'https://www.sportspromedia.com', 'title': 'SportsPro Media'}"
2023-01-10 08:00:00+00:00,New Amazon Prime Video Shows and Movies (January 2023) - TV Guide,"{'href': 'https://www.tvguide.com', 'title': 'TV Guide'}"
2023-01-14 08:00:00+00:00,UPDATE: Warrenton Town Council tables vote on Amazon data ... - Fauquier Now,"{'href': 'https://www.fauquiernow.com', 'title': 'Fauquier Now'}"
2023-01-05 08:00:00+00:00,Flexport Names Former Amazon Executive as President - The Wall Street Journal,"{'href': 'https://www.wsj.com', 'title': 'The Wall Street Journal'}"
2023-01-01 08:00:00+00:00,Amazon Prime Video New Releases: January 2023 - Den of Geek,"{'href': 'https://www.denofgeek.com', 'title': 'Den of Geek'}"
2023-01-09 08:00:00+00:00,Prime Video Premieres Australian Amazon Original Documentary - Amazon Studios,"{'href': 'http://press.amazonstudios.com', 'title': 'Amazon Studios'}"
2023-01-12 08:00:00+00:00,NJ Man Discovers Kitchen Knife Sticking Out of His Amazon Package - NBC New York,"{'href': 'https://www.nbcnewyork.com', 'title': 'NBC New York'}"
2023-01-06 08:00:00+00:00,Amazon Shoppers Love These Down Pillows That Are 36% Off - PEOPLE,"{'href': 'https://people.com', 'title': 'PEOPLE'}"
2023-01-09 08:00:00+00:00,Best Buy Takes On Amazon Prime With New Free Shipping Benefit - CNET,"{'href': 'https://www.cnet.com', 'title': 'CNET'}"
2023-01-09 08:00:00+00:00,Hackettstown NJ: Catalytic converters stolen from Amazon trucks - New Jersey Herald,"{'href': 'https://www.njherald.com', 'title': 'New Jersey Herald'}"
2023-01-09 08:00:00+00:00,"Newly solo GE HealthCare begins bulking up C-suite, naming ... - FierceBiotech","{'href': 'https://www.fiercebiotech.com', 'title': 'FierceBiotech'}"
2023-01-09 08:00:00+00:00,‘The Boys’ And Amazon Make Fun Of HBO Max For Deleting Its Content - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2023-01-06 08:00:00+00:00,Who Owns Amazon? - Business Model Analyst,"{'href': 'https://businessmodelanalyst.com', 'title': 'Business Model Analyst'}"
2023-01-05 08:00:00+00:00,Amazon deforestation may shrink Himalayan snow and Antarctic ice - New Scientist,"{'href': 'https://www.newscientist.com', 'title': 'New Scientist'}"
2023-01-04 08:00:00+00:00,Amazon Prime Free Games for January 2023 Available Now ... - GameRant,"{'href': 'https://gamerant.com', 'title': 'GameRant'}"
2023-01-04 08:00:00+00:00,Developer ICP sells Amazon warehouse in Brooklyn for nearly $54 ... - Crain's Cleveland Business,"{'href': 'https://www.crainscleveland.com', 'title': ""Crain's Cleveland Business""}"
2023-01-03 08:00:00+00:00,Apple and Amazon lost a 'staggering' $800 billion in market cap in 2022. Here's what that looks like - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2023-01-11 08:00:00+00:00,Brazil bids to bring Cop30 climate talks to Amazon's Belem - Climate Home News,"{'href': 'https://www.climatechangenews.com', 'title': 'Climate Home News'}"
2023-01-02 08:00:00+00:00,Invincible season 2 is not coming to Amazon Prime Video in January ... - Bam! Smack! Pow!,"{'href': 'https://bamsmackpow.com', 'title': 'Bam! Smack! Pow!'}"
2023-01-12 08:00:00+00:00,Warner Bros. Discovery & Amazon Prime Video Strike Major Content Deal In France - Deadline,"{'href': 'https://deadline.com', 'title': 'Deadline'}"
2023-01-12 08:00:00+00:00,Amazon Under Fire: The Long Struggle Against Brazil's Land Barons - Yale Environment 360,"{'href': 'https://e360.yale.edu', 'title': 'Yale Environment 360'}"
2023-01-05 08:00:00+00:00,Kindle buying guide: Find out which e-reader is right for you - About Amazon,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}"
2023-01-04 08:00:00+00:00,Amazon and Oceana spar over retailer's plastic footprint - Plastics Recycling Update,"{'href': 'https://resource-recycling.com', 'title': 'Plastics Recycling Update'}"
2023-01-04 08:00:00+00:00,Woman arrested in connection to stolen Amazon packages found dumped at Dayton Mall - WHIO,"{'href': 'https://www.whio.com', 'title': 'WHIO'}"
2023-01-05 08:00:00+00:00,Breakingviews - EU is stuck playing catch-up with Amazon and Apple - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2023-01-11 08:00:00+00:00,Amazon closing Fresh Pickup location in Seattle which ushered in ... - GeekWire,"{'href': 'https://www.geekwire.com', 'title': 'GeekWire'}"
